,Flowering.time.at.Arkansas,Flag.leaf.length,Flag.leaf.width,Awn.presence,Panicle.number.per.plant,Plant.height,Panicle.length,Primary.panicle.branch.number,Seed.number.per.panicle,Florets.per.panicle,Panicle.fertility,Seed.length,Seed.width,Seed.length.width.ratio,Blast.resistance,Amylose.content,Alkali.spreading.value,Protein.content
NSFTV69@c14c4e03.0,93.25,32.35,1.258333333,0,2.913256052,113.5833333,24.4,12.09090909,5.129898715,5.305563775,0.839,9.304475,2.845291667,3.27,1,20.09,4.98,9.5
NSFTV70@efbb93de.0,90.5,27.41666667,1.566666667,0,3.016351561,128,23.22727273,9.545454545,4.759061092,4.972964894,0.807,8.639475,3.177483333,2.719,3,18.38,4.75,8.1
NSFTV71@61cc3858.0,100.75,36.88888889,1.011111111,0,3.80666249,99.16666667,28.05,10.66666667,4.906755164,5.272486607,0.694,7.996477778,2.844955556,2.811,1,23.97,7,NA
NSFTV72@12d82364.0,108.1666667,28.66666667,1.411111111,0,3.557726184,90.66666667,25.15,11.33333333,5.261538115,5.375278408,0.892,8.41835,2.878175,2.925,1,23.13,7,8.5
NSFTV73@97dcf87d.0,91.41666667,35.35833333,1.441666667,0,2.983153491,102.9166667,23.40833333,11.66666667,4.793722293,5.010635294,0.805,9.897391667,3.152666667,3.139,1,14.22,2.083333334,8.7
NSFTV74@55d3afae.0,99.33333333,35.35,1.291666667,0,3.58120144,104.0833333,30.39166667,10.58333333,5.230662885,5.340338642,0.896,9.523025,2.401016667,3.966,3,24.77,7,8.1
NSFTV75@b0816082.0,87.66666667,35.06666667,1.425,1,2.414289083,132.4166667,32.83333333,10.25,5.05677645,5.720584963,0.515,7.991241667,3.120033333,2.561,3,19.515,5.375,11.15
NSFTV76@cb5e38e6.0,110.1666667,27.09166667,1.416666667,0,3.514029912,94.08333333,25.91818182,12.81818182,5.19648597,5.354869536,0.854,8.556491667,3.0905,2.769,1,25.43,7,7.7
NSFTV77@45ec7861.0,125,34.18,1.25,0,3.335176281,144.8,24.44,12.5,5.210396485,5.398162702,0.829,7.366336364,3.238527273,2.275,5,24.36666667,7,9.15
NSFTV78@66d97672.0,98.83333333,32.53333333,1.341666667,0,3.48635519,133.75,25.12222222,9.666666667,5.056824677,5.127205473,0.932,9.180466667,2.737625,3.353,4,26.345,5.0625,7.7
NSFTV79@c0936cf1.0,76.25,27.9,1.108333333,1,3.075774981,91.16666667,24.71818182,12.09090909,5.039899849,5.150133697,0.896,8.558916667,3.266091667,2.621,7,10.58666667,6.375,7.3
NSFTV80@02d095ba.0,110.5714286,48.2,0.991666667,NA,3.983413002,106,27.56666667,10,4.410776048,5.400422589,0.372,9.08107,2.72842,3.328,4,25.62,5.5,NA
NSFTV81@006dfe9b.0,83.25,34.43333333,1.311111111,0,3.49144426,139.3333333,26.17777778,7.625,4.926045226,5.013409221,0.916,9.49555,2.652916667,3.579,1,25.43,4.875,8.4
NSFTV83@becfe767.0,79,23.99,0.89,0,3.280911216,106.6,19.62222222,10.66666667,4.870947423,5.0604831,0.827,6.93865,3.41136,2.034,4,11.60333333,6.375,8.1
NSFTV84@7bee5b9f.0,89.16666667,33.55,1.666666667,1,2.319114395,132.5833333,30.96666667,9.916666667,5.231108617,5.606108392,0.687,7.857083333,3.367133333,2.333,4,20.385,5.25,9.3
NSFTV85@328163e1.0,100.75,31,1.166666667,1,3.860729711,143.1666667,28.45,9.5,5.04234927,5.108971195,0.936,7.378733333,2.55115,2.892,7,26.59,4.666666667,7.55
NSFTV87@64fa0112.0,101.25,37.5875,1.4125,0,2.618438042,116.125,24.94285714,10.5,5.041990396,5.283767586,0.785,8.61393,3.48906,2.469,5,0.366666667,6.375,8.9
NSFTV89@897c5eef.0,90.91666667,36.05,1.558333333,0,2.442347035,114.6666667,24,11.16666667,5.520794029,5.672463791,0.859,6.794891667,3.184908333,2.133,1,22.22,6.083333334,7.9
NSFTV90@743f41c1.0,82.58333333,27.3,1.15,0,3.826663156,127.1666667,25.66363636,9.818181818,4.750450471,4.868932075,0.888,7.897816667,3.239491667,2.438,3,0.095,6.958333334,8.15
NSFTV92@5df8f871.0,91.6,35.23333333,1.7,0,2.538973871,123.4444444,23.83333333,11.11111111,5.034243308,5.175678812,0.868,7.972683333,3.696691667,2.157,1,17.53333333,4.611111111,8.75
NSFTV93@9f1f4614.0,88.25,28.44444444,1.122222222,1,3.659278984,150.4444444,29.0875,9.75,4.639132342,4.865434345,0.797,9.468733333,2.414975,3.921,6,17.14666667,3.75,9.15
NSFTV94@20a4c97d.0,83.91666667,29.20833333,0.916666667,0,3.719651113,93.16666667,21.46666667,9.666666667,4.680446307,4.89987301,0.803,7.324108333,3.436916667,2.131,4,15.45333333,6.666666667,7.5
NSFTV96@32a6808e.0,104.3,37.02222222,1.111111111,0,2.610069793,101.6666667,22.58888889,8.444444444,4.840681386,5.07030085,0.795,8.394,3.38442,2.48,5,12.025,7,9.75
NSFTV98@6ab77e3e.0,83.83333333,25.2375,1.1375,0,3.098589659,83.88888889,22.67142857,11.57142857,4.893352133,5.043425117,0.861,9.970590909,2.495972727,3.995,5,26.34,3.958333334,8.2
NSFTV99@7eb7c6a8.0,90.16666667,33.2,1.541666667,0,2.922265122,134.3333333,26.70909091,9.909090909,4.752806185,5.011846681,0.772,9.583266667,3.157791667,3.035,2,22.495,5.138888889,8.95
NSFTV100@1f10be3d.0,84.11111111,27.62222222,1.611111111,0,2.978925155,114.8888889,23.94444444,11.55555556,5.032614201,5.340738082,0.735,8.138033333,3.382633333,2.406,3,10.60333333,6.958333334,8.7
NSFTV101@9f782e9e.0,86.16666667,27.625,1.45,0,2.818398258,86.16666667,27.45,11.08333333,4.894101478,5.209030676,0.73,9.632391667,2.644466667,3.642,8,20.51333333,6,9.5
NSFTV102@6e26f4cc.0,NA,27.85,1.1,1,3.481240089,105.5,30.75,10.5,4.600157644,4.86753445,0.765,9.8055,2.4696,3.97,1,21.25333333,5,8.7
NSFTV103@8c76404c.0,84,30.175,1.05,0,2.957511061,95.08333333,24.13333333,9.777777778,4.881538499,4.998900038,0.889,7.528083333,3.534583333,2.13,4,16.97666667,6.916666667,7.75
NSFTV104@8629f76c.0,77.5,27.64166667,1.125,1,3.139110856,110.3333333,23.625,11.41666667,4.892227063,5.028256895,0.873,6.606108333,3.321841667,1.989,7,8.59,6.875,8.45
NSFTV105@16463092.0,80.5,31.83333333,1.533333333,0,3.727699446,131.1111111,24.9625,8,5.042251408,5.11635938,0.929,7.614041667,2.793958333,2.725,4,24.64333333,4.833333334,7.2
NSFTV106@8a06320f.0,102.8333333,30.15,1.441666667,0,3.493979115,93.83333333,25.90833333,9.166666667,4.892852258,5.083472618,0.826,9.4203,2.934808333,3.21,0,14.09333333,3.388888889,7.45
NSFTV107@7b7a0d82.0,81.41666667,28.64166667,1.266666667,0,3.012261576,114.25,23.2,10.27272727,4.521788577,4.953262954,0.65,9.943041667,3.080191667,3.228,0,18.88,5.375,9
NSFTV108@e3b049a9.0,102.1666667,41,1.583333333,0,2.47793798,112.7777778,29.18333333,12.5,5.11131822,5.279813895,0.845,9.037366667,3.417566667,2.644,1,22.68,6,9.35
NSFTV110@11bf5114.0,150.5,44.83,1.3,0,3.601868077,143.4444444,26.76666667,10.125,4.807657412,5.101896885,0.745,8.7916,3.247266667,2.707,4,24.92333333,7,7.5
